scientific,_score,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,0.00806155322427122,0.4807460308074951,0.9919907298892858,51.89762015722718,3.168033422158901,0.22593198120941135,0.7333333333333333,0.14903201073413838,6.0,58.56139801653031,0.2732093795923583,1.5748400687862874,1.690391459074733,0.8539394436395776,1.9574505319667534,0.7021464693762877
Katsuwonus pelamis,0.712607681077829,0.7769106030464172,0.996548961975842,20.416177913424917,1.6126059422804127,0.18931684456169895,0.32941176470588235,0.00017856611410374692,5.0,49.09302161893955,0.2249933037707211,2.1182766548560235,0.47674418604651164,0.8785749262185519,2.129216859792072,0.5883614577424844
Katsuwonus pelamis,0.5573489964671202,0.9218165874481201,0.998618013740565,49.97617483300198,2.0815656804403617,0.24621195836759052,0.42745098039215684,0.0015690484546937258,6.0,50.21994332296224,0.20290273964118338,2.3669741199892274,0.41834451901565994,0.7499411939970833,3.0786631424027093,0.5721207335893479
Katsuwonus pelamis,0.5256132249140979,0.8704043030738831,0.9977953363912622,38.64025512022659,1.0482107774165985,0.3415645543682386,0.6274509803921569,0.11505004073082742,5.0,51.37237995513704,0.2164261608285814,2.0937546538871765,0.6709677419354839,0.880544198323155,3.071099728862376,0.46908946787979044
Katsuwonus pelamis,0.4986054533379877,0.6614223122596741,0.9938198654792008,40.069385469185654,2.3477924461313195,0.24845698233263383,0.5019607843137255,0.06760644418872266,6.0,59.062206459482,0.25227272727272726,2.974812599765921,0.4482758620689655,0.7595568420001996,3.054320602347823,0.4634466518702972
Katsuwonus pelamis,0.40162719149219483,0.6937624216079712,0.9953233077528032,14.239686643474156,3.8247323179395587,0.09488190092176413,0.1843137254901961,0.0007594502560082315,6.0,53.853348492039984,0.20414512849408364,2.6561532678064523,0.39900249376558605,0.9243748219880376,1.9920293087195595,0.6323020573566085
Katsuwonus pelamis,0.3945402880002027,0.7901135683059692,0.9966240074567928,31.256682488608327,2.829436056455895,0.23190091247593866,0.4980392156862745,0.06675299008416533,5.0,63.218424852778085,0.24350018741268273,2.5219222793373812,0.4188034188034188,0.7604258627277878,3.509255605864082,0.5592476306762021
Katsuwonus pelamis,0.34576678111670267,0.7650243043899536,0.9963421013593655,41.4014613411625,2.3907208346453896,0.18388551835924852,0.35294117647058826,0.0001498666187093487,5.0,43.455676676253276,0.1881725264514582,3.7467896303855355,0.31263858093126384,0.8892824790773766,2.715480985386188,0.5171643786070356
Katsuwonus pelamis,0.33351129901343574,0.6457526087760925,0.9861085505570301,41.86099774378565,2.403268956065479,0.21725621445769133,0.4627450980392157,0.013606935147591353,6.0,55.52165482338024,0.20923406123120816,2.6249614927330276,0.5425,0.8226135889954147,2.9855922851735746,0.4547119815668203
Katsuwonus pelamis,0.28525226325466685,0.855961799621582,0.9981829750231684,18.197529481465054,3.3343028613166545,0.1360381885876952,0.2901960784313726,0.005926845789117182,6.0,67.49165348285952,0.2079927748927523,1.518166943309385,0.7699757869249395,0.8154727661826633,3.1139386105500466,0.6745777940213501
Katsuwonus pelamis,0.235395510758928,0.40063974261283875,0.9865707498174403,14.03083753988154,2.951307969704906,0.09176661825961717,0.1803921568627451,0.0011886619932947272,5.0,46.170708874602255,0.1878390734532155,1.8059774081463456,0.6541095890410958,0.8947542794036444,2.1029567562112295,0.5810801118840996
Katsuwonus pelamis,0.23372009780038733,0.8494389653205872,0.9973302234796145,9.725779123711938,3.8049384646482634,0.08011724758028793,0.16862745098039217,0.008355024261705068,5.0,60.778766441929314,0.2687104341399145,3.640892257458741,0.2952586206896552,0.7345144483573737,5.483498980513508,0.4790381953183992
Katsuwonus pelamis,0.21016530082472185,0.7967879176139832,0.9967891012834809,12.686613898100044,3.648737129882062,0.11889104172415287,0.28627450980392155,0.012500479312857088,6.0,71.22983445054189,0.20826463182381738,1.412379026928927,0.6863753213367609,0.9674006397888946,1.3728248801463097,0.7482934249925383
Katsuwonus pelamis,0.19162437304022104,0.8377681970596313,0.9972449005048144,18.816722730662406,3.4729084512342596,0.172936258831095,0.40784313725490196,0.02025689191247398,6.0,72.6394238912509,0.21439813169518201,2.8554170043170104,0.415625,0.6463799764824458,4.532275407004275,0.4520559210526316
Katsuwonus pelamis,0.19122539319266935,0.7402896285057068,0.9957207351644624,20.96337258791879,1.6960163979156317,0.12525295866798158,0.30196078431372547,0.0077368282591538514,6.0,57.182931532405824,0.2720684954440007,1.279610126642713,1.1733333333333333,0.6614051574470796,5.644442195675267,0.5033333333333333
Katsuwonus pelamis,0.17654847313539088,0.7176604270935059,0.9961674990096366,24.030146044684077,3.519052504918997,0.26271535707524113,0.611764705882353,0.10968799538838449,5.0,43.16396450457106,0.11473194984868136,1.2873342975125426,1.009375,0.6707397900774857,5.622958968656544,0.5385061919504643
Katsuwonus pelamis,0.17507454543560477,0.6902439594268799,0.9938447998198109,42.818364719076605,3.532913662806776,0.20552878200817612,0.403921568627451,0.03456722917800762,5.0,67.60900528875065,0.25523952095808383,3.077582846812181,0.9356435643564357,0.8213614354884649,2.480888867480186,0.37767824401487765
