scientific,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,70.84734826820922,3.436397895864281,0.23696381403850594,0.6666666666666666,0.12199078026293324,6.0,64.98873289097844,0.32392863240566844,1.1440570325954562,0.9714285714285714,0.9821870791154365,1.2533146332297014,0.7598991596638656
Sardinella longiceps,22.70041858858512,2.8359049611755505,0.14724943050355288,0.3137254901960784,0.00756884917016232,6.0,42.01020809699863,0.181606784606967,1.505563223558171,1.375,0.6843740292016154,6.831364379078122,0.47323423268602854
Sardinella longiceps,17.476653539398434,3.278791665163266,0.1292524742478546,0.25098039215686274,0.00023013635579080606,5.0,38.0953660099902,0.18410908463264483,3.8920689151621555,0.29375,0.7601080065743132,3.8286812189754187,0.5381150265957447
Sardinella longiceps,22.831716419096146,2.599685597676729,0.17995933564611843,0.42745098039215684,0.03266364225534673,4.0,49.198767657375804,0.22734931950745302,4.431945959266247,0.3122923588039867,0.9470750344482024,2.497606337032047,0.5344242595603308
Sardinella longiceps,12.906909321624587,2.689743316249913,0.09521679147481789,0.20784313725490197,0.0,6.0,53.08807410819311,0.31338673873178263,5.288217321521407,0.2697841726618705,0.7737243130916648,3.663215015463696,0.48215827338129497
Sardinella longiceps,29.51018186204871,2.7655216112851817,0.1825479137930031,0.403921568627451,0.01157613535173642,5.0,53.05607228930317,0.2669931730483823,4.9165292306309425,0.22660098522167488,0.9626023456516929,2.5117900862408606,0.6987577639751553
Sardinella longiceps,28.07422996867116,2.59418255541846,0.12377315138248489,0.29411764705882354,0.000791765637371338,5.0,52.99837963919629,0.2782264449722882,4.613267115286406,3.6545454545454548,0.8635913400311306,2.925929440487802,0.5520578923563998
Sardinella longiceps,24.907704843904096,3.9802035033748715,0.12391323311331454,0.23921568627450981,0.0017301038062283738,5.0,44.714759862605746,0.32105783489866535,4.671923857583275,0.6546762589928058,0.9019380294766159,2.8149571736658276,0.3072179618942209
Sardinella longiceps,15.810708527817862,2.8450342313529458,0.15591181266357,0.2784313725490196,0.0020964360587002098,5.0,50.4637453215296,0.3361285814116003,4.77907521909374,0.7936507936507936,0.7010082730093071,3.8362617895087165,0.2151984126984127
Katsuwonus pelamis,21.27551649084809,2.0693101969577747,0.16955137571484813,0.3176470588235294,0.0023416476919892364,6.0,54.78440079844091,0.2975186296832954,1.110334983756789,1.15625,0.7884147621656775,4.177917339255781,0.6501858108108108
Katsuwonus pelamis,27.06841816475081,2.619494090534224,0.1832383581759941,0.32941176470588235,0.0003621482634990765,6.0,51.516179949843554,0.19005540868431536,3.121079626513659,0.3,0.8617692771275415,2.7360233855653266,0.6987911522633745
Katsuwonus pelamis,21.190138474469386,1.8985634536764155,0.14789144695239664,0.27058823529411763,0.0,6.0,39.01974477024178,0.1630765486187173,2.0059642952448984,1.5793650793650793,0.8670781564193734,2.295116190982828,0.6491933875727846
Katsuwonus pelamis,57.94206954113935,1.9356096464353214,0.32477407386604285,0.7294117647058823,0.22467676585202198,5.0,51.40642862318065,0.22983818937262898,2.239300316278717,1.8777777777777778,0.9662042022488793,1.9907121215784827,0.634146942800789
Katsuwonus pelamis,38.52097639381775,3.799066972279512,0.33512735876511474,0.6745098039215687,0.12898322663710168,5.0,50.57402527839893,0.3505239440649476,2.3904420387115617,0.4540682414698163,0.9799105564590257,1.557678429791746,0.8410404624277457
Katsuwonus pelamis,22.3082210633081,1.2563671124891915,0.140816539793379,0.34901960784313724,0.015708943997936993,6.0,52.6152705755374,0.28011776335582583,1.2250462592335747,1.45,0.6698949526005636,6.72807908387654,0.5478388409961685
Katsuwonus pelamis,19.298387905509056,2.8206029612563186,0.2075488634758888,0.36470588235294116,0.0014974685650448053,5.0,28.581760571319748,0.13208623517387275,1.5504280400223285,1.4272300469483568,0.8445558596168827,2.8458742435645066,0.6529682480850012
Katsuwonus pelamis,37.86897209645905,3.3874796589437284,0.21339512868139243,0.34901960784313724,0.01435124859432733,5.0,50.820766675963156,0.14226299912535922,1.91938535026047,1.7534883720930232,0.7830900425313642,4.082540407077999,0.6780581086916292
Katsuwonus pelamis,20.860819463787315,1.5896926388093235,0.12113356888300016,0.2901960784313726,0.005330075081456297,6.0,53.83642900748459,0.2800857061906786,1.2275661843177306,1.1483870967741936,0.672217548076923,7.042228149706079,0.506782348677057
Katsuwonus pelamis,12.043896880011868,2.379754342255826,0.08344114507697512,0.20392156862745098,0.0,6.0,55.34747609912812,0.20799504183452122,2.789154636138308,0.4,0.977457950407491,1.7379057727880982,0.7486640625
Katsuwonus pelamis,19.52404692691047,1.6595126926329424,0.17106326423924495,0.30980392156862746,0.00023133422011451044,5.0,47.097209743538265,0.23431264819848477,1.5329951181358243,0.6206896551724138,0.8803188503424273,2.051820626094168,0.675948275862069
Katsuwonus pelamis,23.25356014343133,2.365780825363649,0.12520281322718632,0.23921568627450981,0.0006438890901042296,5.0,43.28178771971279,0.16201859229747675,2.57752439066925,0.5755208333333334,0.9351590358008843,2.2660332997941484,0.5794329751131222
Katsuwonus pelamis,38.79781438486565,3.3621817002734473,0.2663387980621272,0.4666666666666667,0.034630365199953723,6.0,66.72071396284285,0.209170490918206,1.5733888276392958,0.7978723404255319,0.6705692476617586,6.261508577924733,0.44937056737588654
Katsuwonus pelamis,18.21350161999593,3.3214464686385643,0.15566915804535905,0.3137254901960784,0.005841383958660975,6.0,64.14016162451922,0.26359755723943545,1.2763795855387252,0.7824773413897281,0.7324700433893123,5.6538697731367185,0.5700696380454688
Katsuwonus pelamis,26.357943511881427,3.148312876338306,0.22400750396106783,0.403921568627451,0.001546087035605475,6.0,48.80449751212344,0.15060706652721567,2.5850959709789834,0.36303630363036304,0.8193885530105086,3.6841325733849453,0.6445094509450945
Katsuwonus pelamis,24.91766392751066,3.5245596490626343,0.2652313891129847,0.6078431372549019,0.10752907050711177,4.0,42.46634940086603,0.13203226381008118,1.3704197355409569,1.0,0.7309016921310771,6.130380268576726,0.5928250238459326
Katsuwonus pelamis,67.1530899764852,3.6980934414854807,0.29459103647812507,0.6431372549019608,0.11383903247033196,5.0,60.9646257294287,0.210206258083547,1.2085674904337635,0.8009708737864077,0.8294414522993484,2.862204350750931,0.6479111503383348
Katsuwonus pelamis,14.76362829618044,3.2302189857528893,0.11435404147721648,0.23529411764705882,0.0012109580277377932,6.0,57.89214881471882,0.29142961592067085,1.0885295854983466,1.072289156626506,0.8129953213023966,4.23114082055463,0.6403516688476754
